,name,position,minutes,cost,total_points,value,points_per_90
448,Fernando Marçal,Defender,618,4.5,19,4.2,2.77
450,Leander Dendoncker,Midfielder,2498,5.0,77,15.4,2.77
451,Adama Traoré,Midfielder,2640,6.0,94,15.7,3.2
452,Rúben Diogo da Silva Neves,Midfielder,2670,5.5,104,18.9,3.51
453,Nélson Cabral Semedo,Defender,2983,5.0,109,21.8,3.29
454,Daniel Castelo Podence,Midfielder,1661,5.5,75,13.6,4.06
455,Max Kilman,Defender,1307,4.5,58,12.9,3.99
457,Pedro Lomba Neto,Midfielder,2549,6.5,124,19.1,4.38
459,Ki-Jana Hoever,Defender,573,4.0,13,3.2,2.04
461,Fabio Silva,Forward,1352,6.0,72,12.0,4.79
